 (5.000000000000000000e-01+0.000000000000000000e+00j)  (1.600036811828613281e+01+1.683702468872070312e+00j)
 (5.101010101010100550e-01+0.000000000000000000e+00j)  (1.117160415649414062e+01-1.551070213317871094e+00j)
 (5.202020202020202211e-01+0.000000000000000000e+00j)  (1.353471469879150391e+01+1.218339920043945312e+00j)
 (5.303030303030302761e-01+0.000000000000000000e+00j)  (2.036842536926269531e+01-1.983756422996520996e-01j)
 (5.404040404040404422e-01+0.000000000000000000e+00j)  (2.529193496704101562e+01-8.624302223324775696e-03j)
 (5.505050505050504972e-01+0.000000000000000000e+00j)  (3.688961791992187500e+01+7.011700272560119629e-01j)
 (5.606060606060605522e-01+0.000000000000000000e+00j)  (4.060136413574218750e+01-1.335558414459228516e+00j)
 (5.707070707070707183e-01+0.000000000000000000e+00j)  (4.603860092163085938e+01+1.799242496490478516e+00j)
 (5.808080808080807733e-01+0.000000000000000000e+00j)  (4.748593521118164062e+01-9.010491967201232910e-01j)
 (5.909090909090909394e-01+0.000000000000000000e+00j)  (4.988930130004882812e+01+6.178810596466064453e-01j)
 (6.010101010101009944e-01+0.000000000000000000e+00j)  (5.671769332885742188e+01-2.062689214944839478e-01j)
 (6.111111111111111605e-01+0.000000000000000000e+00j)  (6.061184692382812500e+01-4.514921307563781738e-01j)
 (6.212121212121212155e-01+0.000000000000000000e+00j)  (7.040766906738281250e+01+1.287796735763549805e+00j)
 (6.313131313131312705e-01+0.000000000000000000e+00j)  (7.468200683593750000e+01-1.671668887138366699e+00j)
 (6.414141414141414366e-01+0.000000000000000000e+00j)  (8.371216583251953125e+01+1.883751988410949707e+00j)
 (6.515151515151514916e-01+0.000000000000000000e+00j)  (8.957046508789062500e+01-1.026473879814147949e+00j)
 (6.616161616161616577e-01+0.000000000000000000e+00j)  (8.956205749511718750e+01+4.110658466815948486e-01j)
 (6.717171717171717127e-01+0.000000000000000000e+00j)  (9.866209411621093750e+01+4.382629692554473877e-01j)
 (6.818181818181818787e-01+0.000000000000000000e+00j)  (1.065570602416992188e+02-9.709010124206542969e-01j)
 (6.919191919191919338e-01+0.000000000000000000e+00j)  (1.164073257446289062e+02+9.787365198135375977e-01j)
 (7.020202020202019888e-01+0.000000000000000000e+00j)  (1.181402816772460938e+02-1.460559844970703125e+00j)
 (7.121212121212121549e-01+0.000000000000000000e+00j)  (1.354938812255859375e+02+1.090848207473754883e+00j)
 (7.222222222222222099e-01+0.000000000000000000e+00j)  (1.554145965576171875e+02-1.108618855476379395e+00j)
 (7.323232323232323759e-01+0.000000000000000000e+00j)  (1.655651245117187500e+02+5.971881747245788574e-01j)
 (7.424242424242424310e-01+0.000000000000000000e+00j)  (1.810513763427734375e+02+7.429693639278411865e-02j)
 (7.525252525252525970e-01+0.000000000000000000e+00j)  (1.879152374267578125e+02-7.360195517539978027e-01j)
 (7.626262626262626521e-01+0.000000000000000000e+00j)  (2.020899963378906250e+02+1.271152496337890625e+00j)
 (7.727272727272727071e-01+0.000000000000000000e+00j)  (2.173933868408203125e+02-1.142648935317993164e+00j)
 (7.828282828282828731e-01+0.000000000000000000e+00j)  (2.353298339843750000e+02+1.169013500213623047e+00j)
 (7.929292929292929282e-01+0.000000000000000000e+00j)  (2.487769012451171875e+02-1.392239451408386230e+00j)
 (8.030303030303029832e-01+0.000000000000000000e+00j)  (2.749966430664062500e+02+7.303670644760131836e-01j)
 (8.131313131313131493e-01+0.000000000000000000e+00j)  (3.180611267089843750e+02-1.941377222537994385e-01j)
 (8.232323232323233153e-01+0.000000000000000000e+00j)  (3.335718078613281250e+02-1.283712089061737061e-01j)
 (8.333333333333333703e-01+0.000000000000000000e+00j)  (3.292240600585937500e+02+5.832995176315307617e-01j)
 (8.434343434343434254e-01+0.000000000000000000e+00j)  (3.274668273925781250e+02-1.570192575454711914e+00j)
 (8.535353535353535914e-01+0.000000000000000000e+00j)  (3.550848083496093750e+02+2.015112876892089844e+00j)
 (8.636363636363636465e-01+0.000000000000000000e+00j)  (3.785614318847656250e+02-1.183477163314819336e+00j)
 (8.737373737373737015e-01+0.000000000000000000e+00j)  (3.839752807617187500e+02+1.612508177757263184e+00j)
 (8.838383838383838675e-01+0.000000000000000000e+00j)  (3.937648315429687500e+02-9.404132962226867676e-01j)
